Joints
100
,,Ben_Johnston:World_Lower,,,,,,Ben_Johnston:World_Upper,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm

Trajectories
100
,,Ben_Johnston:Base,,,Ben_Johnston:L5,,,Ben_Johnston:UpperVert,,,Ben_Johnston:Shoulder,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
64,0,4.03525,-10.283,1030.87,19.6052,-11.8728,1155.57,-4.57399,-10.4152,1402.85,16.4439,100.728,1328.01
65,0,4.00235,-10.3636,1030.99,19.4606,-11.9884,1155.77,-5.0426,-10.5624,1402.99,16.7501,101.013,1328.41
66,0,3.95274,-10.4453,1031.1,19.2962,-12.1042,1155.94,-5.43978,-10.6823,1403.13,16.8255,100.993,1328.5
67,0,3.88853,-10.5171,1031.22,19.107,-12.213,1156.1,-5.82661,-10.8254,1403.26,15.2603,100.242,1328.52
68,0,3.81391,-10.5824,1031.33,18.892,-12.334,1156.22,-6.27242,-10.99,1403.39,14.8051,100.035,1328.4
69,0,3.71647,-10.6378,1031.42,18.6745,-12.4542,1156.33,-6.72754,-11.1524,1403.51,14.8095,100.014,1328.97
70,0,3.61265,-10.6848,1031.5,18.441,-12.5669,1156.44,-7.14213,-11.2935,1403.62,14.4922,99.8519,1329.1
71,0,3.49947,-10.7076,1031.57,18.24,-12.6482,1156.56,-7.53422,-11.4256,1403.72,14.0764,99.6699,1329.21
72,0,3.39036,-10.7351,1031.62,18.0522,-12.7123,1156.66,-7.98361,-11.5659,1403.79,13.4074,99.4107,1329.33
73,0,3.26916,-10.7613,1031.66,17.8635,-12.7705,1156.73,-8.46189,-11.734,1403.86,13.2366,99.3565,1329.42
74,0,3.15098,-10.7691,1031.66,17.6602,-12.8188,1156.79,-8.85171,-11.8788,1403.93,13.0675,99.3055,1329.52
75,0,3.04117,-10.7833,1031.66,17.4424,-12.8793,1156.85,-9.21646,-12.0037,1404,12.84,99.2286,1329.58
76,0,2.91978,-10.7905,1031.65,17.2069,-12.9486,1156.92,-9.67715,-12.1692,1404.06,13.4429,99.6184,1329.94
77,0,2.79905,-10.8004,1031.65,16.9765,-13.0163,1157,-10.1492,-12.3314,1404.15,12.5941,99.2688,1329.97
78,0,2.66248,-10.8073,1031.65,16.7904,-13.0623,1157.07,-10.516,-12.4656,1404.22,11.6616,98.7817,1329.93
79,0,2.50789,-10.8288,1031.65,16.6127,-13.1003,1157.13,-10.8841,-12.5899,1404.28,11.4956,98.7533,1330.08
80,0,2.33464,-10.8668,1031.63,16.4434,-13.118,1157.19,-11.3091,-12.7574,1404.34,11.4059,98.7259,1329.99
81,0,2.17454,-10.8966,1031.64,16.2501,-13.1629,1157.25,-11.7439,-12.9093,1404.41,11.7455,98.9632,1330.3
82,0,1.99618,-10.9255,1031.67,16.0067,-13.2228,1157.3,-12.0694,-13.0332,1404.46,10.6045,98.388,1330.61
83,0,1.80826,-10.9549,1031.7,15.7318,-13.2757,1157.35,-12.412,-13.156,1404.51,10.3416,98.2824,1330.7
84,0,1.60921,-11.0003,1031.73,15.4607,-13.3478,1157.4,-12.7861,-13.3047,1404.57,9.96583,98.1963,1330.89
85,0,1.41789,-11.0252,1031.75,15.2224,-13.402,1157.44,-13.1509,-13.4443,1404.61,10.1304,98.3343,1331.11
86,0,1.18529,-11.0434,1031.77,15.0265,-13.4234,1157.48,-13.4806,-13.5884,1404.64,9.78018,98.1218,1331.12
87,0,0.950201,-11.0755,1031.77,14.8022,-13.4542,1157.5,-13.7823,-13.7355,1404.67,9.65917,98.1055,1331.22
88,0,0.680724,-11.108,1031.75,14.5478,-13.519,1157.48,-14.0775,-13.8726,1404.68,10.0332,98.2461,1331.48
89,0,0.426554,-11.1084,1031.74,14.2751,-13.5827,1157.47,-14.3456,-14.0046,1404.68,8.63673,97.6131,1331.19
90,0,0.150455,-11.1034,1031.72,13.9736,-13.629,1157.46,-14.6418,-14.1424,1404.68,8.33287,97.3909,1331.16
91,0,-0.101123,-11.0968,1031.71,13.6954,-13.6648,1157.43,-14.947,-14.3002,1404.66,8.34178,97.4647,1331.34
92,0,-0.387249,-11.0873,1031.69,13.4602,-13.6872,1157.41,-15.2032,-14.4432,1404.65,8.48892,97.5339,1331.39
93,0,-0.68887,-11.1058,1031.67,13.1869,-13.7465,1157.37,-15.4206,-14.5736,1404.62,8.45383,97.4983,1331.44
94,0,-1.0055,-11.113,1031.65,12.9058,-13.8137,1157.32,-15.6399,-14.7059,1404.59,8.215,97.3275,1331.41
95,0,-1.32315,-11.0973,1031.63,12.6015,-13.8864,1157.27,-15.8938,-14.8421,1404.55,8.46004,97.3774,1331.5
96,0,-1.66264,-11.0708,1031.62,12.2732,-13.9613,1157.23,-16.1663,-14.9928,1404.52,8.4161,97.2945,1331.51
97,0,-1.9752,-11.0629,1031.61,11.9555,-14.0358,1157.18,-16.4587,-15.1576,1404.48,6.76572,96.4077,1331.12
98,0,-2.32177,-11.079,1031.6,11.6637,-14.1006,1157.12,-16.6834,-15.2867,1404.44,6.61207,96.2703,1331.1
99,0,-2.64889,-11.0562,1031.58,11.3703,-14.1568,1157.08,-16.891,-15.4265,1404.39,6.78332,96.4149,1331.23
