Trajectories
100
,,Ben_Johnston:Base,,,Ben_Johnston:L5,,,Ben_Johnston:UpperVert,,,Ben_Johnston:Shoulder,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
65,0,-39.3586,479.118,1005.56,76.313,291.845,1103.79,225.032,82.3975,1083.79,73.5224,79.0928,1088.06
66,0,-38.3662,478.614,1004.37,78.4104,289.717,1099.13,226.973,80.5852,1073.77,75.7829,77.0914,1079.84
67,0,-37.5096,477.868,1003.32,80.8277,287.806,1094.61,228.937,78.9779,1064.2,78.02,75.3327,1072.1
68,0,-36.6799,477.135,1002.35,83.0448,285.918,1090.51,230.823,77.6137,1055.2,80.1938,73.7024,1064.78
69,0,-35.9596,476.31,1001.42,85.1943,284.19,1086.69,232.592,76.4021,1046.67,82.138,72.2339,1058.02
70,0,-35.2641,475.63,1000.48,87.2364,282.645,1083.18,234.186,75.3674,1038.71,83.9519,70.9704,1051.68
71,0,-34.6591,475.051,999.495,89.1692,281.26,1079.97,235.671,74.4267,1031.2,85.607,69.8517,1045.74
72,0,-33.9953,474.604,998.435,90.9951,280.022,1077.02,236.997,73.6225,1024.24,87.0509,68.9037,1040.21
73,0,-33.3865,474.325,997.381,92.5966,278.972,1074.35,238.321,72.9121,1017.86,88.3987,68.0207,1035.14
74,0,-32.8182,474.057,996.29,94.1075,277.979,1071.85,239.531,72.3427,1011.97,89.7191,67.221,1030.48
75,0,-32.1925,473.842,995.262,95.5772,277.048,1069.58,240.63,71.8763,1006.13,91.0135,66.4264,1026.25
76,0,-31.5837,473.597,994.29,96.9776,276.211,1067.39,241.725,71.4664,1001.16,92.1317,65.7859,1022.51
77,0,-31.0415,473.329,993.394,98.2424,275.525,1065.4,242.642,70.9996,996.662,93.2542,65.2127,1019.15
78,0,-30.6142,473.025,992.592,99.3203,274.933,1063.69,243.477,70.6411,992.787,94.2596,64.7312,1016.21
79,0,-30.282,472.706,991.911,100.31,274.324,1062.22,244.297,70.3119,989.317,95.2138,64.2806,1013.61
80,0,-30.0574,472.333,991.37,101.109,273.757,1060.99,245.049,70.0349,986.344,96.1821,63.8156,1011.36
81,0,-29.8854,471.898,990.963,101.81,273.198,1059.98,245.882,69.8308,983.791,97.1454,63.3441,1009.53
82,0,-29.7939,471.469,990.66,102.448,272.687,1059.19,246.611,69.647,981.753,97.9229,62.9825,1008.02
83,0,-29.7694,471.068,990.464,102.915,272.303,1058.67,247.181,69.5153,980.098,98.6786,62.6918,1006.85
84,0,-29.7635,470.671,990.342,103.245,271.977,1058.37,247.738,69.4257,978.852,99.1472,62.4878,1005.91
85,0,-29.8064,470.337,990.28,103.487,271.676,1058.34,248.108,69.3118,978.056,99.4565,62.2486,1005.35
86,0,-29.8855,470.096,990.242,103.624,271.447,1058.49,248.257,69.1138,977.534,99.616,62.0799,1005.03
87,0,-30.0231,469.956,990.274,103.632,271.285,1058.8,248.438,69.0211,977.375,99.7005,61.9208,1004.99
88,0,-30.1922,469.86,990.345,103.531,271.191,1059.27,248.464,68.8635,977.553,99.7319,61.8184,1005.2
89,0,-30.398,469.794,990.488,103.398,271.179,1059.89,248.541,68.852,978.034,99.8303,61.7336,1005.6
90,0,-30.6381,469.784,990.677,103.225,271.251,1060.5,248.629,68.8816,978.733,99.8213,61.7306,1006.33
