Segments
100
,,Ben_Johnston:Lower,,,,,,Ben_Johnston:Upper,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm

Trajectories
100
,,Ben_Johnston:Base,,,Ben_Johnston:L5,,,Ben_Johnston:UpperVert,,,Ben_Johnston:Shoulder,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
143,0,137.531,-11.5418,1023.37,133.954,-13.5639,1197.45,156.273,-19.6271,1421.14,134.806,106.247,1419.71
144,0,137.547,-11.5349,1023.39,133.99,-13.5832,1197.43,156.306,-19.6323,1421.15,134.803,106.269,1419.71
145,0,137.569,-11.5074,1023.37,134.007,-13.5708,1197.43,156.341,-19.5895,1421.14,134.834,106.318,1419.7
146,0,137.57,-11.5063,1023.39,134.042,-13.5528,1197.43,156.374,-19.5236,1421.13,134.812,106.334,1419.68
147,0,137.583,-11.5201,1023.37,134.042,-13.5542,1197.42,156.407,-19.5432,1421.11,134.863,106.351,1419.67
148,0,137.617,-11.5024,1023.38,134.076,-13.5366,1197.41,156.443,-19.5321,1421.11,134.912,106.357,1419.66
149,0,137.631,-11.514,1023.37,134.125,-13.5268,1197.41,156.491,-19.5507,1421.09,134.934,106.373,1419.63
150,0,137.677,-11.5199,1023.35,134.139,-13.5351,1197.4,156.525,-19.5091,1421.1,134.938,106.377,1419.61
151,0,137.715,-11.4888,1023.34,134.189,-13.5485,1197.38,156.573,-19.511,1421.06,134.989,106.385,1419.61
152,0,137.703,-11.4725,1023.33,134.189,-13.5487,1197.38,156.591,-19.4927,1421.06,134.997,106.397,1419.6
153,0,137.714,-11.4874,1023.31,134.238,-13.5396,1197.35,156.627,-19.5131,1421.06,135.051,106.388,1419.6
154,0,137.734,-11.5156,1023.32,134.251,-13.5509,1197.35,156.678,-19.5207,1421.07,135.096,106.393,1419.6
155,0,137.75,-11.5097,1023.32,134.303,-13.5627,1197.34,156.71,-19.4795,1421.07,135.141,106.398,1419.59
156,0,137.736,-11.5099,1023.31,134.302,-13.5635,1197.33,156.758,-19.5008,1421.06,135.187,106.402,1419.57
157,0,137.737,-11.5089,1023.32,134.289,-13.5553,1197.34,156.808,-19.5489,1421.04,135.222,106.382,1419.55
158,0,137.722,-11.4993,1023.31,134.294,-13.5713,1197.3,156.857,-19.5323,1421.01,135.297,106.381,1419.52
159,0,137.718,-11.5149,1023.31,134.323,-13.5794,1197.29,156.89,-19.5288,1421.01,135.375,106.362,1419.51
160,0,137.717,-11.5198,1023.32,134.358,-13.5965,1197.28,156.923,-19.5474,1420.98,135.444,106.384,1419.48
161,0,137.737,-11.5464,1023.33,134.375,-13.6266,1197.27,156.957,-19.5545,1420.98,135.524,106.368,1419.45
162,0,137.733,-11.5709,1023.33,134.392,-13.6562,1197.26,156.986,-19.5742,1420.95,135.579,106.361,1419.42
163,0,137.718,-11.5616,1023.32,134.411,-13.6479,1197.24,157.036,-19.5747,1420.93,135.632,106.371,1419.41
164,0,137.734,-11.5849,1023.3,134.429,-13.6709,1197.22,157.053,-19.5702,1420.92,135.663,106.374,1419.37
165,0,137.762,-11.5929,1023.29,134.451,-13.6805,1197.2,157.102,-19.59,1420.89,135.738,106.343,1419.34
